Price,Model,km_driven,Fuel,Owner,Year,Company
415000,Maruti New Wagon-RVXI,89587,Petrol,1,2020,Maruti
307000,Maruti Alto K10VXI,69495,Petrol,1,2017,Maruti
520000,Honda Amaze1.2L I-VTEC,80643,Petrol,1,2019,Honda
715000,Maruti Vitara BrezzaZXI,50019,Petrol,1,2020,Maruti
465000,Maruti BalenoZETA PETROL,77359,Petrol,1,2018,Maruti
671000,Maruti SwiftZXI,25230,Petrol,1,2023,Maruti
793000,Maruti ErtigaZXI+ SHVS,64344,CNG,1,2018,Maruti
249000,Maruti Alto 800LXI,48723,Petrol,2,2016,Maruti
707000,Maruti Vitara BrezzaVXI,31707,Petrol,1,2021,Maruti
621000,Renault TRIBERRXZ,45631,CNG,1,2019,Renault
484999,Renault TRIBERRXZ,53921,Petrol,1,2020,Renault
396000,Maruti SwiftVXI,68381,Petrol,2,2016,Maruti
883000,Hyundai Verna1.6 VTVT,70823,Petrol,1,2019,Hyundai
490000,Honda WR-V1.2L I-VTEC,52653,Petrol,1,2017,Honda
543000,Honda Amaze1.2L I-VTEC,59898,Petrol,1,2018,Honda
827999,Mahindra XUV300W8 (O),87162,Diesel,1,2019,Mahindra
690000,Tata ALTROZXZ PLUS,29826,Petrol,1,2022,Tata
791000,Tata ALTROZXM PLUS,12864,CNG,1,2023,Tata
535000,Maruti BalenoZETA DIESEL,83954,Diesel,1,2017,Maruti
440000,Maruti New Wagon-RVXI,39810,Petrol,1,2020,Maruti
495000,Maruti BalenoDELTA PETROL,27664,Petrol,1,2018,Maruti
1376000,Volkswagen TAIGUNGT PLUS,26141,Petrol,1,2022,Volkswagen
822000,Mahindra XUV300W8 (O),48545,Petrol,1,2021,Mahindra
625000,Maruti BalenoALPHA PETROL,12250,Petrol,1,2020,Maruti
304000,Maruti AltoLXI,16439,Petrol,1,2019,Maruti
480999,Maruti CelerioVXI,32006,Petrol,1,2022,Maruti
800000,Tata TIGORXZ PLUS,7791,CNG,1,2024,Tata
565000,Tata ALTROZXT PETROL,38672,Petrol,1,2020,Tata
415000,Hyundai Grand i10SPORTZ,52084,Petrol,2,2017,Hyundai
1131000,Tata NEXONXZ PLUS,32528,Diesel,1,2023,Tata
919000,KIA SONETHTK PLUS,7784,Petrol,1,2023,KIA
287000,Hyundai i10MAGNA 1.1,76329,CNG,2,2013,Hyundai
451000,Maruti BalenoDELTA PETROL,85062,Petrol,1,2019,Maruti
570000,Maruti BalenoDELTA PETROL,23858,Petrol,1,2021,Maruti
740000,Honda City1.5L I-VTEC,58653,Petrol,2,2017,Honda
451000,Maruti BalenoDELTA PETROL,40819,Petrol,2,2018,Maruti
438999,Maruti BalenoDELTA PETROL,60872,Petrol,1,2016,Maruti
450000,Hyundai Grand i10MAGNA,89327,Petrol,1,2019,Hyundai
550000,Maruti BalenoZETA PETROL,80633,Petrol,1,2020,Maruti
245000,Hyundai i10MAGNA 1.1,69233,CNG,1,2013,Hyundai
1039000,Mahindra TharLX HT,43815,Petrol,1,2021,Mahindra
441000,Maruti AltoLXI OPT,29040,CNG,1,2022,Maruti
1647000,Tata HarrierXZ PLUS,18541,Diesel,1,2022,Tata
386000,Hyundai XcentSX 1.2,87673,CNG,1,2014,Hyundai
488000,Maruti DzireVXI,28129,Petrol,2,2018,Maruti
401999,Maruti IGNISDELTA 1.2,76488,CNG,2,2018,Maruti
413000,Hyundai Grand i10MAGNA,58415,CNG,1,2016,Hyundai
563000,Hyundai GRAND I10,29938,Petrol,1,2021,Hyundai
326000,Maruti Eeco5 STR,47151,CNG,2,2015,Maruti
1180000,MG HECTORSHARP 1.5,50166,Petrol,1,2020,MG
450000,Maruti SwiftVXI,40529,Petrol,1,2016,Maruti
540000,Maruti CelerioZXI PLUS,31268,Petrol,1,2023,Maruti
565000,Renault TRIBERRXZ,75316,CNG,1,2019,Renault
299000,Hyundai i20SPORTZ 1.2,84543,Petrol,2,2013,Hyundai
590000,Maruti CiazDELTA 1.5,71593,Petrol,1,2019,Maruti
882000,Hyundai EXTERSX(O) CONNECT,8284,Petrol,1,2023,Hyundai
450000,Maruti Swift DzireVXI,106289,Petrol,1,2016,Maruti
779000,Hyundai CretaS PLUS,73396,Diesel,1,2016,Hyundai
1036000,Tata NEXONXZA PLUS,25755,Diesel,1,2023,Tata
398000,Renault KwidRXT 1.0,27856,Petrol,1,2020,Renault
419000,Maruti Alto K10VXI,12874,Petrol,1,2022,Maruti
483000,Maruti New Wagon-RVXI,53517,Petrol,1,2021,Maruti
338000,Hyundai Grand i10SPORTZ,79938,Petrol,2,2015,Hyundai
357000,Hyundai i20SPORTZ 1.2,52904,Petrol,2,2014,Hyundai
423000,Hyundai Grand i10ASTA,55312,Petrol,1,2015,Hyundai
320000,Maruti SwiftVXI,63354,Petrol,1,2013,Maruti
450000,Maruti BalenoZETA PETROL,86925,Petrol,2,2018,Maruti
349000,Maruti CelerioZXI AMT,69629,Petrol,1,2015,Maruti
518000,Maruti New Wagon-RLXI,24657,CNG,1,2021,Maruti
702000,Maruti DzireZXI,29472,Petrol,1,2022,Maruti
265000,Hyundai i10MAGNA 1.1,80091,Petrol,1,2013,Hyundai
362000,Hyundai Grand i10SPORTZ,117617,Petrol,1,2017,Hyundai
318000,Hyundai EonERA +,37207,Petrol,1,2018,Hyundai
318000,Maruti AltoLXI,41472,Petrol,1,2020,Maruti
470000,Maruti BalenoZETA PETROL,37184,Petrol,1,2017,Maruti
500000,Hyundai Elite i20SPORTZ,113250,CNG,1,2017,Hyundai
